Ejecucion,Resultado,Detalle,DatosUsados
1,Exitosa,Usuario no se crea porque ya existe,namePrueba360-usernamePrueba360-casoprueba360@software.com-PruebaTuCan
2,Exitosa,Usuario no se crea porque ya existe,namePrueba361-usernamePrueba361-casoprueba361@software.com-PruebaTuCan
3,Exitosa,Usuario no se crea porque ya existe,namePrueba362-usernamePrueba362-casoprueba362@software.com-PruebaTuCan
4,Exitosa,Usuario no se crea porque ya existe,namePrueba363-usernamePrueba363-casoprueba363@software.com-PruebaTuCan
5,Exitosa,Usuario no se crea porque ya existe,namePrueba364-usernamePrueba364-casoprueba364@software.com-PruebaTuCan
6,Exitosa,Usuario no se crea porque ya existe,namePrueba365-usernamePrueba365-casoprueba365@software.com-PruebaTuCan
7,Exitosa,Usuario no se crea porque ya existe,namePrueba366-usernamePrueba366-casoprueba366@software.com-PruebaTuCan
8,Exitosa,Usuario no se crea porque ya existe,namePrueba367-usernamePrueba367-casoprueba367@software.com-PruebaTuCan
9,Exitosa,Usuario no se crea porque ya existe,namePrueba368-usernamePrueba368-casoprueba368@software.com-PruebaTuCan
10,Exitosa,Usuario no se crea porque ya existe,namePrueba369-usernamePrueba369-casoprueba369@software.com-PruebaTuCan
