Ejecucion,Resultado,DatosUsados
1,Ejecución exitosa,casoexiste170@software.com-PruebaTuCan
2,Ejecución exitosa,casoexiste171@software.com-PruebaTuCan
3,Ejecución exitosa,casoexiste172@software.com-PruebaTuCan
4,Ejecución exitosa,casoexiste173@software.com-PruebaTuCan
5,Ejecución exitosa,casoexiste174@software.com-PruebaTuCan
6,Ejecución exitosa,casoexiste175@software.com-PruebaTuCan
7,Ejecución exitosa,casoexiste176@software.com-PruebaTuCan
8,Ejecución exitosa,casoexiste177@software.com-PruebaTuCan
9,Ejecución exitosa,casoexiste178@software.com-PruebaTuCan
10,Ejecución exitosa,casoexiste179@software.com-PruebaTuCan
