Ejecucion,Resultado,Detalle,DatosUsados
1,Exitosa,Publicacion realizada,casoprueba360@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 360
2,Exitosa,Publicacion realizada,casoprueba361@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 361
3,Exitosa,Publicacion realizada,casoprueba362@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 362
4,Exitosa,Publicacion realizada,casoprueba363@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 363
5,Exitosa,Publicacion realizada,casoprueba364@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 364
6,Exitosa,Publicacion realizada,casoprueba365@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 365
7,Exitosa,Publicacion realizada,casoprueba366@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 366
8,Exitosa,Publicacion realizada,casoprueba367@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 367
9,Exitosa,Publicacion realizada,casoprueba368@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 368
10,Exitosa,Publicacion realizada,casoprueba369@software.com-PruebaTuCan-Un caso de prueba para ingenieria de software III Chrome 369
