Ejecucion,Resultado,Detalle,DatosUsados,TiempoRes
1,Exitosa,Nombre de usuario no ha sido modificado,casoprueba700@software.com-PruebaTuCan-pruebasoftware3,13
2,Exitosa,Nombre de usuario no ha sido modificado,casoprueba701@software.com-PruebaTuCan-pruebasoftware3,5
3,Exitosa,Nombre de usuario no ha sido modificado,casoprueba702@software.com-PruebaTuCan-pruebasoftware3,4
4,Exitosa,Nombre de usuario no ha sido modificado,casoprueba703@software.com-PruebaTuCan-pruebasoftware3,4
5,Exitosa,Nombre de usuario no ha sido modificado,casoprueba704@software.com-PruebaTuCan-pruebasoftware3,5
6,Exitosa,Nombre de usuario no ha sido modificado,casoprueba705@software.com-PruebaTuCan-pruebasoftware3,5
7,Exitosa,Nombre de usuario no ha sido modificado,casoprueba706@software.com-PruebaTuCan-pruebasoftware3,4
8,Exitosa,Nombre de usuario no ha sido modificado,casoprueba707@software.com-PruebaTuCan-pruebasoftware3,5
9,Exitosa,Nombre de usuario no ha sido modificado,casoprueba708@software.com-PruebaTuCan-pruebasoftware3,4
10,Exitosa,Nombre de usuario no ha sido modificado,casoprueba709@software.com-PruebaTuCan-pruebasoftware3,5
11,Exitosa,Nombre de usuario no ha sido modificado,casoprueba710@software.com-PruebaTuCan-pruebasoftware3,5
12,Exitosa,Nombre de usuario no ha sido modificado,casoprueba711@software.com-PruebaTuCan-pruebasoftware3,4
13,Exitosa,Nombre de usuario no ha sido modificado,casoprueba712@software.com-PruebaTuCan-pruebasoftware3,8
14,Exitosa,Nombre de usuario no ha sido modificado,casoprueba713@software.com-PruebaTuCan-pruebasoftware3,4
15,Exitosa,Nombre de usuario no ha sido modificado,casoprueba714@software.com-PruebaTuCan-pruebasoftware3,7
16,Exitosa,Nombre de usuario no ha sido modificado,casoprueba715@software.com-PruebaTuCan-pruebasoftware3,6
17,Exitosa,Nombre de usuario no ha sido modificado,casoprueba716@software.com-PruebaTuCan-pruebasoftware3,5
18,Exitosa,Nombre de usuario no ha sido modificado,casoprueba717@software.com-PruebaTuCan-pruebasoftware3,7
19,Exitosa,Nombre de usuario no ha sido modificado,casoprueba718@software.com-PruebaTuCan-pruebasoftware3,10
20,Exitosa,Nombre de usuario no ha sido modificado,casoprueba719@software.com-PruebaTuCan-pruebasoftware3,7
21,Exitosa,Nombre de usuario no ha sido modificado,casoprueba720@software.com-PruebaTuCan-pruebasoftware3,6
22,Exitosa,Nombre de usuario no ha sido modificado,casoprueba721@software.com-PruebaTuCan-pruebasoftware3,5
23,Exitosa,Nombre de usuario no ha sido modificado,casoprueba722@software.com-PruebaTuCan-pruebasoftware3,5
