Ejecucion,Resultado,Detalle,DatosUsados,TiempoRes
1,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba700@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,13
2,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba701@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,6
3,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba702@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,7
4,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba703@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,7
5,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba704@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,7
6,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba705@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,7
7,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba706@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,8
8,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba707@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,7
9,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba708@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,6
10,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba709@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,6
11,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba710@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,6
12,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba711@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,6
13,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba712@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,7
14,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba713@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,5
15,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba714@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,6
16,Exitosa,Se realizo el cambio de imagen de perfil,casoprueba715@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5a.png,6
